BOOK_ID,IMAGE_ID,BOOK_PATH
BK050,8,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_7-390x510.jpg
BK050,9,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_8-390x510.png
BK050,10,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_9-390x510.jpg
BK050,11,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_10-390x510.png
BK051,1,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_1_2019_04_24_10_13_48.jpg
BK051,2,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2_2019_04_24_10_13_48.png
BK051,3,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_3_2019_04_24_10_13_48.png
BK051,4,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_4_2019_04_24_10_13_48.png
BK051,5,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_5_2019_04_24_10_13_48.png
BK051,6,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_6_2019_04_24_10_13_48.png
BK051,7,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_7_2019_04_24_10_13_48.png
BK051,8,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_8_2019_04_24_10_13_48.png
BK051,9,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_9_2019_04_24_10_13_48.png
BK051,10,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_10_2019_04_24_10_13_48.png
BK052,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_40420.jpg
BK052,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_1-390x510.jpg
BK052,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_2-390x510.jpg
BK052,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_3-390x510.jpg
BK052,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_4-390x510.jpg
BK052,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_5-390x510.jpg
BK052,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_6-390x510.jpg
BK052,8,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_7-390x510.jpg
BK052,9,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_8-390x510.jpg
BK052,10,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_9-390x510.jpg
